epoch,train_loss,val_loss,lr,sec
1,0.567318,,1.000e-04,2.3
2,0.154721,,9.999e-05,4.5
3,0.129620,,9.998e-05,6.7
4,0.117574,,9.996e-05,9.1
5,0.110239,,9.993e-05,11.9
6,0.102219,,9.990e-05,14.8
7,0.096529,,9.987e-05,17.7
8,0.090078,,9.982e-05,20.6
9,0.085050,,9.978e-05,23.5
10,0.079579,0.077304,9.973e-05,26.6
11,0.074808,,9.967e-05,29.5
12,0.072552,,9.961e-05,32.4
13,0.068148,,9.954e-05,35.2
14,0.066690,,9.946e-05,38.0
15,0.063735,,9.938e-05,40.8
16,0.061443,,9.930e-05,43.7
17,0.058326,,9.921e-05,46.6
18,0.057203,,9.911e-05,49.4
19,0.054316,,9.901e-05,52.3
20,0.052535,0.052863,9.891e-05,55.3
21,0.051465,,9.880e-05,58.2
22,0.049974,,9.868e-05,61.0
23,0.048258,,9.856e-05,63.8
24,0.047194,,9.843e-05,66.8
25,0.045808,,9.830e-05,69.6
26,0.044742,,9.816e-05,72.4
27,0.043261,,9.801e-05,75.3
28,0.042295,,9.787e-05,78.2
29,0.041604,,9.771e-05,81.0
30,0.040002,0.041662,9.755e-05,84.1
31,0.039752,,9.739e-05,87.0
32,0.039723,,9.722e-05,89.8
33,0.038382,,9.704e-05,92.7
34,0.038206,,9.686e-05,95.5
35,0.037305,,9.668e-05,98.4
36,0.036480,,9.649e-05,101.3
37,0.035755,,9.629e-05,104.2
38,0.035794,,9.609e-05,107.0
39,0.035025,,9.589e-05,109.8
40,0.034744,0.035277,9.568e-05,112.9
41,0.034195,,9.546e-05,115.8
42,0.034152,,9.524e-05,118.6
43,0.033221,,9.502e-05,121.5
44,0.032595,,9.479e-05,124.3
45,0.032595,,9.455e-05,127.2
46,0.032046,,9.431e-05,130.0
47,0.031832,,9.407e-05,132.8
48,0.031587,,9.382e-05,135.7
49,0.031412,,9.356e-05,138.6
50,0.030717,0.032609,9.330e-05,141.7
51,0.030791,,9.304e-05,144.6
52,0.030452,,9.277e-05,147.6
53,0.030095,,9.249e-05,150.7
54,0.029933,,9.222e-05,154.1
55,0.029636,,9.193e-05,156.9
56,0.029011,,9.165e-05,159.8
57,0.029026,,9.135e-05,162.6
58,0.028901,,9.106e-05,165.4
59,0.028345,,9.076e-05,168.3
60,0.028091,0.028282,9.045e-05,171.4
61,0.028098,,9.014e-05,174.2
62,0.027528,,8.983e-05,177.1
63,0.027648,,8.951e-05,180.0
64,0.027412,,8.918e-05,182.7
65,0.027493,,8.886e-05,185.5
66,0.027151,,8.853e-05,188.5
67,0.027316,,8.819e-05,191.3
68,0.026611,,8.785e-05,194.1
69,0.026758,,8.751e-05,196.9
