epoch,train_loss,val_loss,lr,sec
1,0.159548,,9.998e-05,7.0
2,0.068341,,9.992e-05,13.8
3,0.054251,,9.981e-05,20.5
4,0.046795,,9.967e-05,27.6
5,0.042325,,9.948e-05,34.6
6,0.038882,,9.925e-05,43.9
7,0.036469,,9.899e-05,53.4
8,0.034665,,9.868e-05,62.9
9,0.032536,,9.833e-05,72.5
10,0.031420,0.021370,9.794e-05,82.8
11,0.030142,,9.751e-05,92.8
12,0.029293,,9.704e-05,102.9
13,0.028163,,9.653e-05,112.9
14,0.027637,,9.598e-05,122.8
15,0.026441,,9.540e-05,133.5
16,0.026108,,9.478e-05,143.6
17,0.025662,,9.412e-05,153.1
18,0.025754,,9.342e-05,162.5
19,0.024819,,9.269e-05,172.2
20,0.024423,0.015635,9.192e-05,182.5
21,0.023668,,9.112e-05,192.1
22,0.023285,,9.028e-05,201.7
23,0.023386,,8.941e-05,211.4
24,0.022717,,8.851e-05,220.9
25,0.022143,,8.757e-05,230.9
26,0.021918,,8.661e-05,241.2
27,0.021928,,8.561e-05,251.5
28,0.021351,,8.458e-05,259.9
29,0.021729,,8.353e-05,266.9
30,0.020923,0.014558,8.244e-05,274.3
31,0.021046,,8.134e-05,281.9
32,0.020445,,8.020e-05,288.9
33,0.020385,,7.904e-05,296.4
34,0.020098,,7.785e-05,303.9
35,0.020011,,7.665e-05,311.5
36,0.020045,,7.541e-05,319.2
37,0.019375,,7.416e-05,326.8
38,0.019143,,7.289e-05,334.5
39,0.018940,,7.160e-05,347.6
40,0.019051,0.012960,7.029e-05,369.7
41,0.018664,,6.897e-05,379.4
42,0.018716,,6.763e-05,389.1
43,0.018313,,6.627e-05,398.9
44,0.018428,,6.490e-05,408.7
45,0.017959,,6.352e-05,418.3
46,0.017852,,6.213e-05,427.6
47,0.017733,,6.072e-05,436.9
48,0.017500,,5.931e-05,446.3
49,0.017124,,5.789e-05,455.7
50,0.017363,0.012334,5.647e-05,465.7
51,0.016967,,5.504e-05,475.1
52,0.016599,,5.360e-05,484.5
53,0.016591,,5.216e-05,493.8
54,0.016534,,5.072e-05,503.4
55,0.016483,,4.928e-05,512.7
56,0.016429,,4.784e-05,522.1
57,0.016774,,4.640e-05,531.4
58,0.016014,,4.496e-05,540.6
59,0.016241,,4.353e-05,550.0
60,0.015740,0.011038,4.211e-05,559.8
61,0.015638,,4.069e-05,569.4
62,0.015889,,3.928e-05,578.7
63,0.015622,,3.787e-05,588.0
64,0.015641,,3.648e-05,597.3
65,0.015375,,3.510e-05,606.6
66,0.015466,,3.373e-05,615.9
67,0.015038,,3.237e-05,625.2
68,0.014954,,3.103e-05,634.6
69,0.014984,,2.971e-05,644.0
70,0.014990,0.009444,2.840e-05,654.1
71,0.014766,,2.711e-05,663.7
72,0.014415,,2.584e-05,673.0
73,0.014441,,2.459e-05,682.3
74,0.014789,,2.335e-05,691.7
75,0.014217,,2.215e-05,701.1
76,0.014335,,2.096e-05,708.4
77,0.014597,,1.980e-05,715.1
78,0.014170,,1.866e-05,721.9
79,0.013950,,1.756e-05,728.6
80,0.014209,0.009236,1.647e-05,735.7
81,0.014079,,1.542e-05,742.5
82,0.014420,,1.439e-05,749.2
83,0.013829,,1.339e-05,756.1
84,0.013839,,1.243e-05,762.8
85,0.014004,,1.149e-05,769.6
86,0.013473,,1.059e-05,776.3
87,0.013484,,9.719e-06,783.1
88,0.013746,,8.882e-06,789.8
89,0.013302,,8.080e-06,796.6
90,0.013561,0.008534,7.312e-06,803.7
91,0.013337,,6.579e-06,810.4
92,0.013471,,5.883e-06,817.5
93,0.013254,,5.223e-06,824.2
94,0.013415,,4.600e-06,832.2
95,0.013332,,4.016e-06,841.9
96,0.013064,,3.469e-06,851.5
97,0.013146,,2.961e-06,861.2
98,0.013035,,2.492e-06,870.7
99,0.013068,,2.062e-06,880.2
100,0.012992,0.008147,1.673e-06,890.6
101,0.013197,,1.323e-06,900.3
102,0.013192,,1.014e-06,910.2
103,0.012866,,7.458e-07,919.6
104,0.013365,,5.183e-07,926.5
105,0.013036,,3.319e-07,933.3
106,0.013004,,1.868e-07,941.0
107,0.013004,,8.305e-08,950.8
108,0.012976,,2.077e-08,960.5
109,0.012954,0.007795,0.000e+00,970.8
