epoch,train_loss,val_loss,lr,sec
1,0.253290,,9.998e-05,6.5
2,0.055387,,9.992e-05,12.6
3,0.037314,,9.981e-05,19.6
4,0.029049,,9.967e-05,31.2
5,0.025065,,9.948e-05,42.8
6,0.021956,,9.925e-05,51.2
7,0.020052,,9.899e-05,57.4
8,0.018381,,9.868e-05,63.6
9,0.017311,,9.833e-05,70.2
10,0.016129,0.016225,9.794e-05,81.8
11,0.014757,,9.751e-05,88.0
12,0.014721,,9.704e-05,95.6
13,0.013600,,9.653e-05,102.3
14,0.013528,,9.598e-05,108.4
15,0.013200,,9.540e-05,114.4
16,0.012403,,9.478e-05,120.4
17,0.011668,,9.412e-05,126.6
18,0.011590,,9.342e-05,132.8
19,0.010996,,9.269e-05,138.9
20,0.010711,0.011415,9.192e-05,145.2
21,0.010573,,9.112e-05,151.3
22,0.010337,,9.028e-05,157.4
23,0.009920,,8.941e-05,163.5
24,0.009841,,8.851e-05,169.5
25,0.009547,,8.757e-05,175.5
26,0.009387,,8.661e-05,181.5
27,0.008924,,8.561e-05,187.5
28,0.009140,,8.458e-05,193.7
29,0.008857,,8.353e-05,199.8
30,0.008390,0.009404,8.244e-05,206.0
31,0.008523,,8.134e-05,212.0
32,0.008597,,8.020e-05,218.0
33,0.008079,,7.904e-05,224.0
34,0.008091,,7.785e-05,230.1
35,0.007850,,7.665e-05,236.0
36,0.007593,,7.541e-05,242.0
37,0.007588,,7.416e-05,247.9
38,0.007553,,7.289e-05,254.0
39,0.007415,,7.160e-05,260.2
40,0.007216,0.007726,7.029e-05,266.4
41,0.007069,,6.897e-05,272.4
42,0.006983,,6.763e-05,278.5
43,0.006834,,6.627e-05,284.5
44,0.006698,,6.490e-05,290.5
45,0.006768,,6.352e-05,296.5
46,0.006393,,6.213e-05,302.3
47,0.006455,,6.072e-05,308.3
48,0.006499,,5.931e-05,314.3
49,0.006257,,5.789e-05,320.4
50,0.006113,0.006776,5.647e-05,326.8
51,0.006110,,5.504e-05,332.8
52,0.005975,,5.360e-05,338.7
53,0.005892,,5.216e-05,344.7
54,0.005915,,5.072e-05,350.8
55,0.005715,,4.928e-05,356.8
56,0.005581,,4.784e-05,362.8
57,0.005560,,4.640e-05,368.8
58,0.005545,,4.496e-05,374.7
59,0.005346,,4.353e-05,380.8
60,0.005246,0.006098,4.211e-05,387.2
61,0.005306,,4.069e-05,393.3
62,0.005082,,3.928e-05,399.2
63,0.005096,,3.787e-05,405.2
64,0.005015,,3.648e-05,411.2
65,0.004966,,3.510e-05,417.2
66,0.004895,,3.373e-05,423.3
67,0.004826,,3.237e-05,429.2
68,0.004694,,3.103e-05,435.2
69,0.004767,,2.971e-05,441.1
70,0.004605,0.005294,2.840e-05,447.6
71,0.004505,,2.711e-05,453.7
72,0.004545,,2.584e-05,459.7
73,0.004406,,2.459e-05,465.7
74,0.004402,,2.335e-05,471.6
75,0.004266,,2.215e-05,477.6
76,0.004231,,2.096e-05,483.6
77,0.004165,,1.980e-05,489.7
78,0.004143,,1.866e-05,495.6
79,0.004096,,1.756e-05,501.6
80,0.003993,0.005345,1.647e-05,508.0
81,0.004028,,1.542e-05,514.2
82,0.003984,,1.439e-05,520.2
83,0.003890,,1.339e-05,526.1
84,0.003847,,1.243e-05,532.0
85,0.003683,,1.149e-05,538.0
86,0.003853,,1.059e-05,544.2
87,0.003639,,9.719e-06,550.2
88,0.003612,,8.882e-06,556.2
89,0.003613,,8.080e-06,562.2
90,0.003636,0.004767,7.312e-06,568.5
91,0.003593,,6.579e-06,574.7
92,0.003498,,5.883e-06,580.9
93,0.003503,,5.223e-06,586.9
94,0.003483,,4.600e-06,593.0
95,0.003373,,4.016e-06,598.9
96,0.003492,,3.469e-06,605.0
97,0.003358,,2.961e-06,611.2
98,0.003389,,2.492e-06,617.3
99,0.003349,,2.062e-06,623.3
100,0.003351,0.004821,1.673e-06,629.6
101,0.003404,,1.323e-06,635.6
102,0.003362,,1.014e-06,641.7
103,0.003346,,7.458e-07,647.8
104,0.003253,,5.183e-07,653.8
105,0.003275,,3.319e-07,659.8
106,0.003224,,1.868e-07,665.8
107,0.003288,,8.305e-08,672.1
108,0.003267,,2.077e-08,678.1
109,0.003293,0.004131,0.000e+00,684.4
